Time (s),Mole fraction
,Ar,He,Ne,N2,SiH4(1),H2(2),SiH2(3),Si2H6(4),SiH3SiH(5)
11.646250850779154,4.5897655835138464e-21,0.0,0.0,0.0,0.11651730174706874,0.69174134912646101,1.9697411057961365e-14,0.19174134912644997,7.7710104299544612e-16
12.05561894681406,-3.7211765325527227e-19,0.0,0.0,0.0,0.11070220129283466,0.69464889935357754,2.1041442786690288e-14,0.19464889935356583,7.8633692063925465e-16
12.464987042848968,-3.2310200844897683e-19,0.0,0.0,0.0,0.10517736523617512,0.69741131738190698,2.25332272104634e-14,0.19741131738189449,7.9366561626385736e-16
12.874355138883875,2.4946085019104084e-18,0.0,0.0,0.0,0.099928309898492607,0.70003584505074778,2.4180340377805114e-14,0.20003584505073441,8.0024050313970858e-16
13.283723234918781,3.2712488033541656e-18,0.0,0.0,0.0,0.094941272178979463,0.70252936391050402,2.5724686078624639e-14,0.20252936391048981,8.0842371574770253e-16
13.693091330953688,9.7878048869390209e-18,0.0,0.0,0.0,0.090203168481705467,0.70489841575914081,2.6623693817809569e-14,0.20489841575912618,8.1553010520925585e-16
13.6942104901095,9.7878048869390132e-18,0.0,0.0,0.0,0.090190545713764114,0.70490472714311136,2.7223661743269961e-14,0.2049047271430964,8.150490878393698e-16
13.694906501459968,9.7878048869390132e-18,0.0,0.0,0.0,0.090182696189926359,0.70490865190503027,2.7246681221436347e-14,0.20490865190501531,8.1504330326130128e-16
13.695602512810437,9.7878048869390132e-18,0.0,0.0,0.0,0.090174847554452139,0.70491257622276737,2.7238829851086965e-14,0.20491257622275244,8.1506337384822369e-16
13.696298524160905,9.7878048869390132e-18,0.0,0.0,0.0,0.090166999554442628,0.70491650022277208,2.7232013012443452e-14,0.20491650022275718,8.1508256991167435e-16
13.697690546861843,9.7878048869390147e-18,0.0,0.0,0.0,0.090151306017419053,0.70492434699128392,2.7237875540615592e-14,0.20492434699126902,8.1510463770495881e-16
13.69893630300648,9.7878048869390132e-18,0.0,0.0,0.0,0.090137263684404112,0.70493136815779145,2.7243278212972164e-14,0.20493136815777641,8.1512425149860335e-16
13.700182059151118,9.7878048869390147e-18,0.0,0.0,0.0,0.090123223428170696,0.70493838828590816,2.7248439701299914e-14,0.20493838828589317,8.1514406671235199e-16
13.701427815295755,9.7878048869390132e-18,0.0,0.0,0.0,0.090109185353551266,0.70494540732321775,2.7253626964160037e-14,0.20494540732320282,8.1516385693445449e-16
13.703919327585032,9.7878048869390132e-18,0.0,0.0,0.0,0.090081114522368042,0.70495944273880939,2.7263980127292096e-14,0.20495944273879441,8.1520344945121923e-16
13.706410839874309,9.7878048869390101e-18,0.0,0.0,0.0,0.09005305174114818,0.70497347412941913,2.7274335424930039e-14,0.20497347412940431,8.1524303036827011e-16
13.708902352163586,9.7878048869390101e-18,0.0,0.0,0.0,0.09002499756898126,0.70498750121550269,2.7284686888437284e-14,0.20498750121548778,8.1528260355332932e-16
13.711393864452862,9.7878048869390132e-18,0.0,0.0,0.0,0.089996952185419796,0.70500152390728354,2.7295051125544918e-14,0.20500152390726858,8.1532215464783929e-16
13.716376889031416,9.7878048869390132e-18,0.0,0.0,0.0,0.089940887732045088,0.70502955613397089,2.7315779320195972e-14,0.20502955613395593,8.1540122343519754e-16
13.726342938188521,9.7878048869390132e-18,0.0,0.0,0.0,0.089828863633960671,0.70508556818301316,2.7357279847532224e-14,0.20508556818299811,8.1555918976448009e-16
13.736308987345627,9.7878048869390101e-18,0.0,0.0,0.0,0.089716979153192558,0.70514151042339701,2.7398832096803571e-14,0.20514151042338211,8.1571693416912745e-16
13.75624108565984,9.7878048869390101e-18,0.0,0.0,0.0,0.089493627980911733,0.70525318600953746,2.7482092155788592e-14,0.20525318600952247,8.1603175910068047e-16
13.776173183974052,9.7878048869390101e-18,0.0,0.0,0.0,0.089270832936865177,0.70536458353156084,2.75655599734953e-14,0.20536458353154566,8.1634570082479404e-16
13.796105282288265,9.7878048869390086e-18,0.0,0.0,0.0,0.089048592673074731,0.7054757036634558,2.7649236054276874e-14,0.20547570366344081,8.1665876202962134e-16
13.816037380602477,9.7878048869390055e-18,0.0,0.0,0.0,0.088826905820624122,0.70558654708968105,2.7733120912779773e-14,0.20558654708966603,8.1697094542782586e-16
13.855901577230902,9.7878048869390055e-18,0.0,0.0,0.0,0.088385187323583345,0.70580740633820149,2.7901518861432074e-14,0.20580740633818634,8.1759268899908071e-16
13.895765773859328,9.7878048869390055e-18,0.0,0.0,0.0,0.087945666590589583,0.70602716670469834,2.8070757940234787e-14,0.20602716670468316,8.1821095299130027e-16
13.935629970487753,9.7878048869390024e-18,0.0,0.0,0.0,0.087508332252692222,0.70624583387364692,2.8240842539799517e-14,0.20624583387363166,8.188257595512623e-16
13.975494167116178,9.787804886939004e-18,0.0,0.0,0.0,0.087073173110853122,0.70646341344456653,2.8411776970410207e-14,0.20646341344455116,8.1943713040850914e-16
14.055222560373029,9.7878048869389993e-18,0.0,0.0,0.0,0.08620933791070777,0.70689533104463909,2.8756212105408587e-14,0.20689533104462354,8.2064964881721529e-16
14.126978114304194,9.7878048869389932e-18,0.0,0.0,0.0,0.085439217967271566,0.70728039101635698,2.9069152787687532e-14,0.20728039101634133,8.2172937556521377e-16
